,0,1
0,5,7
1,7,34
2,6,7
3,7,29
4,7,13
5,3,7
6,7,36
7,7,53
8,7,55
9,4,61
10,20,61
11,2,61
12,7,20
13,7,28
14,7,76
15,7,19
16,61,77
17,4,57
18,7,89
19,7,109
20,7,111
21,7,100
22,7,47
23,7,122
24,7,116
25,7,133
26,57,110
27,7,54
28,7,137
29,7,60
30,7,141
31,7,56
32,7,161
33,1,7
34,7,166
35,7,184
36,7,78
37,7,185
38,7,33
39,7,188
40,25,57
41,7,35
42,7,195
43,7,156
44,7,200
45,100,202
46,7,204
47,7,110
48,7,210
49,7,206
50,7,207
51,7,96
52,202,211
53,202,212
54,7,212
55,7,179
56,176,202
57,7,232
58,104,202
59,202,236
60,202,237
61,135,202
62,2,7
63,7,39
64,7,41
65,7,21
66,7,72
67,7,62
68,202,244
69,56,202
70,7,175
71,7,143
72,7,260
73,158,202
74,202,240
75,141,202
76,202,230
77,153,202
78,7,243
79,7,269
80,127,202
81,202,221
82,202,278
83,7,240
84,7,285
85,202,286
86,202,288
87,134,202
88,7,294
89,202,292
90,202,271
91,7,272
92,7,254
93,7,135
94,202,206
95,7,266
96,202,204
97,7,314
98,7,249
99,7,108
100,202,322
101,7,219
102,7,228
103,62,202
104,7,326
105,7,57
106,202,321
107,7,296
108,202,289
109,202,214
110,4,7
111,7,202
112,202,251
113,7,202
114,7,354
115,202,356
116,202,324
117,139,202
118,257,359
119,60,359
120,7,134
121,4,202
122,7,368
123,202,358
124,202,363
125,7,142
126,202,377
127,33,202
128,7,393
129,7,159
130,57,401
131,7,345
132,7,155
133,202,347
134,7,418
135,202,353
136,7,144
137,7,429
138,7,293
139,7,410
140,202,301
141,7,270
142,7,365
143,202,310
144,7,449
145,7,460
146,202,441
147,7,473
148,7,424
149,7,310
150,7,481
151,7,378
152,60,202
153,132,202
154,57,144
155,7,440
156,7,489
157,7,447
158,7,383
159,202,447
160,359,504
161,7,472
162,7,498
163,7,386
164,144,202
165,219,359
166,359,524
167,359,524
168,7,494
169,7,222
170,202,215
171,7,538
172,7,203
173,7,120
174,202,550
175,7,480
176,7,547
177,7,322
178,202,488
179,7,68
180,7,88
181,7,584
182,202,480
183,7,551
184,202,219
185,7,171
186,202,594
187,7,484
188,202,427
189,7,616
190,7,405
191,7,113
192,202,638
193,7,643
194,143,202
195,57,537
196,7,655
197,7,656
198,202,493
