article,best_topic,likelyhood,keywords
0,0,0.43913713405238824,"trade, official, japanese, import, foreign, make, action, country, open, bill"
1,2,0.20678044815975846,"government, plan, tax, make, add, reduce, industry, cut, time, state"
2,5,0.2573232323232324,"oil, price, production, crude, day, spokesman, barrel, contract, raise, gas"
3,6,0.26253443526170805,"rise, year, fall, growth, month, increase, deficit, compare, economy, show"
4,4,0.21272042458483137,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
5,5,0.3563636363636364,"oil, price, production, crude, day, spokesman, barrel, contract, raise, gas"
6,7,0.18295251985091562,"price, market, agreement, meeting, producer, talk, country, agree, future, member"
7,4,0.1890782828282828,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
8,4,0.2054292929292929,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
9,2,0.231953231953232,"government, plan, tax, make, add, reduce, industry, cut, time, state"
10,7,0.2611247611247612,"price, market, agreement, meeting, producer, talk, country, agree, future, member"
11,1,0.4608927108927109,"rate, bank, market, dollar, interest, exchange, currency, money, week, yen"
12,7,0.14313505424616538,"price, market, agreement, meeting, producer, talk, country, agree, future, member"
13,6,0.20918487197556962,"rise, year, fall, growth, month, increase, deficit, compare, economy, show"
14,0,0.24338842975206615,"trade, official, japanese, import, foreign, make, action, country, open, bill"
15,8,0.23400673400673402,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
16,3,0.2408500590318772,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
17,1,0.27413374248817285,"rate, bank, market, dollar, interest, exchange, currency, money, week, yen"
18,6,0.2377946127946128,"rise, year, fall, growth, month, increase, deficit, compare, economy, show"
19,2,0.1568863235529902,"government, plan, tax, make, add, reduce, industry, cut, time, state"
20,4,0.1884635832004253,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
21,6,0.3423005565862709,"rise, year, fall, growth, month, increase, deficit, compare, economy, show"
22,6,0.1854467000098068,"rise, year, fall, growth, month, increase, deficit, compare, economy, show"
23,1,0.21015914541094396,"rate, bank, market, dollar, interest, exchange, currency, money, week, yen"
24,6,0.20320223511712873,"rise, year, fall, growth, month, increase, deficit, compare, economy, show"
25,3,0.23633773633773636,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
26,7,0.27626262626262627,"price, market, agreement, meeting, producer, talk, country, agree, future, member"
27,0,0.36852653519320194,"trade, official, japanese, import, foreign, make, action, country, open, bill"
28,4,0.18078218078218078,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
29,4,0.2046975781915541,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
30,4,0.1241225817497004,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
31,8,0.19824412347776832,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
32,1,0.36849432743860894,"rate, bank, market, dollar, interest, exchange, currency, money, week, yen"
33,5,0.1736214605067064,"oil, price, production, crude, day, spokesman, barrel, contract, raise, gas"
34,4,0.3496941243420117,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
35,8,0.12434691745036568,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
36,8,0.19512885868026056,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
37,10,0.14015151515151514,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
38,0,0.3771326712503183,"trade, official, japanese, import, foreign, make, action, country, open, bill"
39,8,0.15859897678079496,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
40,5,0.19649486316152984,"oil, price, production, crude, day, spokesman, barrel, contract, raise, gas"
41,8,0.2319973932877159,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
42,0,0.37262387656088447,"trade, official, japanese, import, foreign, make, action, country, open, bill"
43,1,0.3306629513526066,"rate, bank, market, dollar, interest, exchange, currency, money, week, yen"
44,6,0.15101838052657726,"rise, year, fall, growth, month, increase, deficit, compare, economy, show"
45,1,0.25061425061425063,"rate, bank, market, dollar, interest, exchange, currency, money, week, yen"
46,8,0.31276533450446486,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
47,4,0.3332462556600488,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
48,4,0.26046176046176045,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
49,9,0.15151515151515152,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
50,4,0.22449850618864706,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
51,8,0.1281866281866282,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
52,6,0.2538468800151043,"rise, year, fall, growth, month, increase, deficit, compare, economy, show"
53,8,0.29970942299709424,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
54,10,0.2872155902458933,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
55,3,0.12506887052341598,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
56,9,0.2643097643097644,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
57,9,0.1454197143852316,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
58,9,0.19214618091022587,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
59,2,0.16518847006651885,"government, plan, tax, make, add, reduce, industry, cut, time, state"
60,3,0.15824915824915822,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
61,5,0.29058259361289673,"oil, price, production, crude, day, spokesman, barrel, contract, raise, gas"
62,3,0.10873440285204988,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
63,5,0.27770458205240817,"oil, price, production, crude, day, spokesman, barrel, contract, raise, gas"
64,3,0.10873440285204988,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
65,3,0.11946386946386944,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
66,3,0.3006993006993008,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
67,1,0.1986057760705648,"rate, bank, market, dollar, interest, exchange, currency, money, week, yen"
68,0,0.09090909090909093,"trade, official, japanese, import, foreign, make, action, country, open, bill"
69,10,0.23121627231216274,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
70,3,0.12587412587412586,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
71,3,0.22206682206682204,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
72,3,0.1874482530220235,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
73,0,0.09090909090909093,"trade, official, japanese, import, foreign, make, action, country, open, bill"
74,6,0.18380526577247885,"rise, year, fall, growth, month, increase, deficit, compare, economy, show"
75,10,0.32916319154851265,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
76,9,0.2970670561032007,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
77,0,0.09090909090909093,"trade, official, japanese, import, foreign, make, action, country, open, bill"
78,8,0.27557124644503284,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
79,3,0.29033189033189044,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
80,10,0.3027859237536657,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
81,3,0.12587412587412586,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
82,4,0.12121212121212122,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
83,1,0.23889580738895813,"rate, bank, market, dollar, interest, exchange, currency, money, week, yen"
84,4,0.34753475347534757,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
85,10,0.3257147748673173,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
86,3,0.22958397534668726,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
87,3,0.164576802507837,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
88,3,0.11835016835016834,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
89,9,0.1518695729222045,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
90,3,0.10001980590215884,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
91,8,0.15304560759106214,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
92,10,0.1782017707943634,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
93,10,0.10236985236985234,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
